"folioviv","foliohog","numren","id_trabajo","pres_2","pres_3","pres_4"
"1402300705","1","01","1","02","",""
"1402300705","1","02","1","02","03",""
"1402300705","1","02","2","02","03",""
"1402327201","1","01","1","","",""
"1402327201","1","01","2","","",""
"1402327201","1","02","1","02","03",""
"1402327201","1","02","2","02","03",""
"1402327201","2","01","1","","",""
"1402327201","2","02","1","02","03",""
"1402327202","1","02","1","","",""
"1402327202","1","02","2","","",""
"1402327203","1","02","1","02","03","04"
"1402327203","1","03","1","02","03","04"
"1402327203","1","04","1","","03","04"
"1402327204","1","01","1","02","03",""
"1402327204","1","02","1","","",""
"1402327204","1","03","1","02","03","04"
"1402327204","1","03","2","","",""
"1402327204","1","04","1","02","","04"
"1402327205","1","01","1","","",""
"1402327205","1","02","1","","",""
"1402441501","1","01","1","02","03",""
"1402441501","1","01","2","02","03",""
"1402441501","1","02","1","02","03",""
"1402441501","1","03","1","","",""
"1402441501","1","05","1","","",""
"1402441502","1","01","1","02","03",""
"1402441502","1","02","1","02","03",""
"1402441503","1","01","1","02","03",""
"1402441505","1","01","1","02","03","04"
"1402441505","1","05","1","02","",""
"1402464304","1","02","1","02","03",""
"1402464304","1","02","2","02","03",""
"1402535901","1","03","1","02","03",""
"1402535901","1","03","2","","",""
"1402535902","1","01","1","02","03",""
"1402535902","1","02","1","","",""
"1402535903","1","01","1","02","03","04"
"1402535905","1","01","1","02","03",""
"1402544801","1","01","1","","",""
"1402544801","1","02","1","","",""
"1402544802","1","01","1","02","03","04"
"1402544802","1","02","1","02","",""
"1402544802","1","04","1","02","03",""
"1402544803","1","01","1","02","03",""
"1402544803","1","02","1","02","03","04"
"1402544803","1","03","1","02","03","04"
"1402544803","2","01","1","02","03","04"
"1402544804","1","01","1","02","03",""
"1402544805","1","02","1","02","",""
"1402544806","1","03","1","02","03","04"
"1402544806","1","04","1","02","03","04"
"1402557401","1","01","1","02","03",""
"1402557401","1","02","1","02","03",""
"1402557402","1","01","1","","03",""
"1402557402","1","02","1","02","03",""
"1402557404","1","01","1","02","03",""
"1402557404","1","01","2","","",""
"1402557404","1","02","1","02","03",""
"1402557404","1","03","1","02","",""
"1402557405","1","02","1","02","03","04"
"1402557405","1","03","1","02","03",""
"1402665001","1","01","1","","",""
"1402665002","1","01","1","02","",""
"1402665003","1","02","1","","",""
"1402665004","1","01","1","","",""
"1402665004","1","03","1","02","03",""
"1402665004","1","04","1","02","03",""
"1402665005","1","01","1","02","03",""
"1402665005","1","03","1","","",""
"1402665005","1","04","1","","",""
"1402665006","1","01","1","","",""
"1402665006","1","02","1","","",""
"1402727602","1","01","1","","",""
"1402727602","1","02","1","","",""
"1402727602","1","05","1","02","03",""
"1402727604","1","01","1","02","03",""
"1402727604","1","03","1","","",""
"1402727605","1","01","1","","",""
"1402757601","1","01","1","","",""
"1402757601","1","04","1","","",""
"1402757601","1","05","1","","",""
"1402757601","1","06","1","","",""
"1402757603","1","01","1","02","03","04"
"1402757604","1","01","1","","",""
"1402757604","1","02","1","","",""
"1402757605","1","01","1","02","03",""
"1402757605","1","02","1","02","03",""
"1402757605","1","03","1","02","03",""
"1402791701","1","01","1","","",""
"1402791702","1","01","1","02","03","04"
"1402791702","1","01","2","","",""
"1402791702","1","02","1","","",""
"1402791702","1","03","1","","",""
"1402791702","1","03","2","","",""
"1402791702","2","01","1","","",""
"1402791702","3","01","1","02","03",""
"1402791702","3","02","1","02","03","04"
"1402791702","4","01","1","","",""
"1402791702","4","01","2","02","",""
"1402791705","1","01","1","","",""
"1402791705","1","03","1","02","03",""
"1402791705","1","04","1","02","03",""
"1402791706","1","02","1","","",""
"1402850201","1","01","1","02","03","04"
"1402850201","1","02","1","02","03",""
"1402850202","1","01","1","02","",""
"1402850202","1","02","1","02","03",""
"1402850203","1","01","1","","",""
"1402850203","1","02","1","","",""
"1402850204","1","01","1","","",""
"1402850204","1","02","1","02","03","04"
"1402850205","1","01","1","","",""
"1402850205","1","01","2","","",""
"1402850205","1","02","1","02","03",""
"1402850205","1","03","1","","",""
"1402850206","1","03","1","02","03","04"
"1402990501","1","01","1","02","03","04"
"1402990501","1","05","1","02","03","04"
"1402990501","1","05","2","","",""
"1402990501","1","06","1","","",""
"1402990502","1","01","1","","",""
"1402990502","1","02","1","","",""
"1402990503","1","01","1","02","03","04"
"1402990504","1","01","1","02","03","04"
"1402990504","1","02","1","02","03","04"
"1402990504","1","03","1","","",""
"1402990504","1","04","1","","",""
"1402990504","1","05","1","","",""
"1403033301","1","01","1","02","03",""
"1403033301","1","05","1","02","03","04"
"1403033301","1","06","1","02","03","04"
"1403033303","1","01","1","02","03",""
"1403033303","1","02","1","02","03","04"
"1403033305","1","01","1","","",""
"1403033305","1","02","1","","",""
"1403033305","1","03","1","02","03","04"
"1403033305","1","04","1","02","03",""
"1403033306","1","01","1","02","",""
"1403033306","1","02","1","02","03","04"
"1403080902","1","01","1","","",""
"1403080902","1","02","1","02","03",""
"1403080903","1","02","1","02","03","04"
"1403080904","1","03","1","","",""
"1403080905","1","01","1","","",""
"1403080905","1","03","1","02","03","04"
"1403080906","1","03","1","02","03",""
"1403080906","1","04","1","02","03",""
"1403102801","1","01","1","","",""
"1403102802","1","01","1","02","03","04"
"1403102802","1","02","1","02","","04"
"1403102802","1","03","1","02","",""
"1403102803","1","01","1","02","03",""
"1403102804","1","02","1","02","03",""
"1403102805","1","01","1","02","",""
"1403102805","1","02","1","","",""
"1403110701","1","01","1","","",""
"1403110702","1","01","1","","",""
"1403110704","1","01","1","","",""
"1403110704","1","02","1","","",""
"1403125401","1","02","1","02","","04"
"1403125403","1","01","1","02","03","04"
"1403125405","1","02","1","02","03",""
"1403125405","1","03","1","02","03",""
"1403146001","1","01","1","","",""
"1403146002","1","01","1","","",""
"1403146002","1","02","1","","",""
"1403146003","1","01","1","02","",""
"1403146004","1","01","1","02","",""
"1403146004","2","01","1","02","",""
"1403146006","1","01","1","02","03",""
"1403214703","1","01","1","","",""
"1403214703","1","03","1","","",""
"1403214704","1","01","1","","",""
"1403214706","1","01","1","02","03",""
"1403242603","1","01","1","02","03",""
"1403242603","1","02","1","02","",""
"1403242604","1","01","1","02","03",""
"1403242605","1","01","1","02","03","04"
"1403242606","1","02","1","02","03","04"
"1403242606","1","03","1","02","03","04"
"1403242606","1","04","1","","",""
"1403242606","1","06","1","","",""
"1403323701","1","01","1","","",""
"1403323702","1","01","1","02","03","04"
"1403323702","1","02","1","02","03","04"
"1403323702","2","01","1","02","","04"
"1403323703","1","01","1","","",""
"1403323703","1","02","1","","",""
"1403323704","1","01","1","","",""
"1403323705","1","01","1","02","03",""
"1403354201","1","01","1","02","03","04"
"1403354201","1","04","1","","",""
"1403354202","1","01","1","","",""
"1403354203","1","01","1","","",""
"1403354206","1","01","1","","",""
"1403354206","1","04","1","02","",""
"1403359501","1","01","1","","",""
"1403359502","1","02","1","02","03","04"
"1403359502","1","03","1","","",""
"1403359502","1","04","1","02","03",""
"1403359502","1","05","1","02","03","04"
"1403359502","1","06","1","","",""
"1403359502","1","08","1","02","03",""
"1403359503","1","01","1","","",""
"1403359503","1","02","1","02","03","04"
"1403359506","1","01","1","02","03",""
