"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1402284602","1","1","1","1","14039","3","14"
"1402284603","1","1","1","4","14039","3","14"
"1402284605","1","1","1","4","14039","3","14"
"1402300701","2","1","1","4","14039","3","14"
"1402300703","2","1","1","4","14039","3","14"
"1402300704","2","1","1","4","14039","3","14"
"1402300705","2","1","1","2","14039","3","14"
"1402300706","1","1","1","4","14039","3","14"
"1402327201","1","1","1","2","14039","3","14"
"1402327202","&","1","1","4","14039","3","14"
"1402327203","1","1","1","1","14039","3","14"
"1402327204","1","1","1","4","14039","3","14"
"1402327205","2","1","1","1","14039","3","14"
"1402441501","1","1","1","3","14039","3","14"
"1402441502","1","1","1","3","14039","3","14"
"1402441503","1","1","1","3","14039","3","14"
"1402441505","1","1","1","3","14039","3","14"
"1402464301","1","1","1","2","14039","3","14"
"1402464304","2","1","1","4","14039","3","14"
"1402535901","1","1","1","4","14039","3","14"
"1402535902","1","1","1","6","14039","3","14"
"1402535903","2","1","1","3","14039","3","14"
"1402535905","1","1","1","4","14039","3","14"
"1402544801","1","1","1","4","14039","3","14"
"1402544802","1","1","1","4","14039","3","14"
"1402544803","1","1","1","5","14039","3","14"
"1402544804","1","1","1","5","14039","3","14"
"1402544805","1","1","1","1","14039","3","14"
"1402544806","1","1","1","5","14039","3","14"
"1402557401","1","1","1","1","14039","3","14"
"1402557402","2","1","1","1","14039","3","14"
"1402557404","1","1","1","4","14039","3","14"
"1402557405","1","1","1","1","14039","3","14"
"1402665001","1","1","1","4","14039","3","14"
"1402665002","1","1","1","2","14039","3","14"
"1402665003","1","1","1","4","14039","3","14"
"1402665004","5","1","1","4","14039","3","14"
"1402665005","1","","1","4","14039","3","14"
"1402665006","1","1","1","2","14039","3","14"
"1402727601","1","1","1","4","14039","3","14"
"1402727602","1","1","1","4","14039","3","14"
"1402727604","1","1","1","2","14039","3","14"
"1402727605","1","1","1","1","14039","3","14"
"1402757601","1","1","1","4","14039","2","14"
"1402757602","1","1","1","4","14039","2","14"
"1402757603","3","1","1","1","14039","2","14"
"1402757604","1","1","1","1","14039","2","14"
"1402757605","1","1","1","4","14039","2","14"
"1402791701","1","1","1","3","14039","3","14"
"1402791702","1","1","1","1","14039","3","14"
"1402791704","1","1","1","4","14039","3","14"
"1402791705","1","1","1","4","14039","3","14"
"1402791706","1","1","1","4","14039","3","14"
"1402850201","1","1","1","1","14039","3","14"
"1402850202","1","1","1","1","14039","3","14"
"1402850203","1","1","1","1","14039","3","14"
"1402850204","1","1","1","4","14039","3","14"
"1402850205","1","1","1","4","14039","3","14"
"1402850206","1","1","1","4","14039","3","14"
"1402990501","1","1","1","4","14039","3","14"
"1402990502","1","1","1","4","14039","3","14"
"1402990503","1","1","1","2","14039","3","14"
"1402990504","1","1","1","1","14039","3","14"
"1403033301","2","1","1","4","14039","3","14"
"1403033303","2","1","1","1","14039","3","14"
"1403033305","2","1","1","1","14039","3","14"
"1403033306","2","1","1","1","14039","3","14"
"1403080901","1","1","1","4","14039","3","14"
"1403080902","1","1","1","6","14039","3","14"
"1403080903","1","1","1","4","14039","3","14"
"1403080904","1","1","1","4","14039","3","14"
"1403080905","1","1","1","4","14039","3","14"
"1403080906","1","1","1","4","14039","3","14"
"1403102801","1","1","1","1","14039","3","14"
"1403102802","1","1","1","4","14039","3","14"
"1403102803","1","1","1","4","14039","3","14"
"1403102804","1","1","1","4","14039","3","14"
"1403102805","1","1","1","4","14039","3","14"
"1403110701","1","1","1","4","14039","2","14"
"1403110702","1","1","1","1","14039","2","14"
"1403110704","5","1","1","1","14039","2","14"
"1403125401","1","1","1","4","14039","3","14"
"1403125403","1","1","1","1","14039","3","14"
"1403125405","1","1","1","4","14039","3","14"
"1403125406","1","1","1","4","14039","3","14"
"1403146001","1","1","1","2","14039","3","14"
"1403146002","1","5","1","2","14039","3","14"
"1403146003","4","1","1","1","14039","3","14"
"1403146004","3","1","1","2","14039","3","14"
"1403146006","1","1","1","1","14039","3","14"
"1403214703","1","1","1","1","14039","4","14"
"1403214704","2","1","1","1","14039","4","14"
"1403214706","2","1","1","1","14039","4","14"
"1403242603","2","1","1","1","14039","3","14"
"1403242604","2","1","1","1","14039","3","14"
"1403242605","2","1","1","1","14039","3","14"
"1403242606","2","1","1","6","14039","3","14"
"1403323701","1","1","1","4","14039","3","14"
"1403323702","1","1","1","4","14039","3","14"
"1403323703","1","1","1","4","14039","3","14"
"1403323704","1","1","1","2","14039","3","14"
"1403323705","1","1","1","3","14039","3","14"
"1403354201","1","1","1","4","14039","3","14"
"1403354202","1","1","1","4","14039","3","14"
"1403354203","1","1","1","1","14039","3","14"
"1403354206","1","1","1","4","14039","3","14"
"1403359501","1","1","1","4","14039","3","14"
"1403359502","1","1","1","1","14039","3","14"
"1403359503","1","1","1","4","14039","3","14"
"1403359505","1","1","1","4","14039","3","14"
"1403359506","1","1","1","1","14039","3","14"
"1403411303","5","1","1","4","14039","3","14"
"1403411304","1","1","1","5","14039","3","14"
"1403411305","1","1","1","4","14039","3","14"
"1403411306","1","1","1","4","14039","3","14"
"1403465901","1","1","1","4","14039","3","14"
"1403465902","2","1","1","1","14039","3","14"
"1403465903","5","1","1","4","14039","3","14"
"1403465906","1","1","1","4","14039","3","14"
"1403475202","1","1","1","1","14039","4","14"
"1403475203","1","1","1","3","14039","4","14"
"1403475205","1","1","1","3","14039","4","14"
"1403485501","1","1","1","4","14039","4","14"
"1403485502","1","1","1","4","14039","4","14"
"1403485503","1","1","1","4","14039","4","14"
"1403485504","1","1","1","4","14039","4","14"
"1403593801","1","1","1","5","14039","3","14"
"1403593802","1","1","1","4","14039","3","14"
"1403593803","2","1","1","4","14039","3","14"
"1403593804","1","1","1","1","14039","3","14"
"1403593805","1","1","1","3","14039","3","14"
"1403593806","1","1","1","5","14039","3","14"
"1403613201","1","1","1","4","14039","2","14"
"1403613203","1","1","1","4","14039","2","14"
"1403613204","1","1","1","1","14039","2","14"
"1403613205","1","1","1","2","14039","2","14"
"1403613206","1","1","1","4","14039","2","14"
"1403636501","1","1","1","1","14039","2","14"
"1403636502","3","1","1","2","14039","2","14"
"1403636504","1","1","1","4","14039","2","14"
"1403636505","1","1","1","4","14039","2","14"
"1403636506","1","1","1","1","14039","2","14"
"1403713301","1","1","1","1","14039","2","14"
"1403713302","2","1","1","1","14039","2","14"
"1403713303","1","1","1","4","14039","2","14"
"1403713304","1","1","1","4","14039","2","14"
"1403713305","1","1","1","1","14039","2","14"
"1403783301","1","1","1","4","14039","4","14"
"1403783302","2","1","1","1","14039","4","14"
"1403783304","2","1","1","1","14039","4","14"
"1403783305","2","1","1","1","14039","4","14"
"1403785901","1","1","1","4","14039","4","14"
"1403785903","1","1","1","4","14039","4","14"
"1403785904","1","1","1","3","14039","4","14"
"1403817501","1","1","1","4","14067","2","14"
"1403817502","1","1","1","4","14067","2","14"
